Date,Close
2017-04-20,1.18
2017-04-21,1.23
2017-04-24,1.28
2017-04-25,1.29
2017-04-26,1.27
2017-04-27,1.24
2017-04-28,1.19
2017-05-01,1.2
2017-05-02,1.23
2017-05-03,1.16
2017-05-04,1.12
2017-05-05,1.16
2017-05-08,1.17
2017-05-09,1.15
2017-05-10,1.06
2017-05-11,0.92
2017-05-12,0.83
2017-05-15,0.77
2017-05-16,0.77
2017-05-17,0.71
2017-05-18,0.7
2017-05-19,0.72
2017-05-22,0.78
2017-05-23,0.77
2017-05-24,0.73
2017-05-25,0.73
2017-05-26,0.72
2017-05-30,0.75
2017-05-31,0.76
2017-06-01,0.78
2017-06-02,0.82
2017-06-05,0.78
2017-06-06,0.76
2017-06-07,0.77
2017-06-08,0.79
2017-06-09,0.78
2017-06-12,0.77
2017-06-13,0.82
2017-06-14,0.8
2017-06-15,0.79
2017-06-16,0.77
2017-06-19,0.8
2017-06-20,0.84
2017-06-21,0.83
2017-06-22,0.87
2017-06-23,0.89
2017-06-26,0.85
2017-06-27,0.85
2017-06-28,0.87
2017-06-29,0.85
2017-06-30,0.87
2017-07-03,0.86
2017-07-05,0.82
2017-07-06,0.82
2017-07-07,0.8
2017-07-10,0.83
2017-07-11,0.79
2017-07-12,0.82
2017-07-13,0.81
2017-07-14,0.82
2017-07-17,0.8
2017-07-18,0.8
2017-07-19,0.8
2017-07-20,0.84
2017-07-21,0.86
2017-07-24,0.89
2017-07-25,0.99
2017-07-26,1.01
2017-07-27,0.95
2017-07-28,0.96
2017-07-31,0.94
2017-08-01,0.96
2017-08-02,0.94
2017-08-03,0.94
2017-08-04,0.93
2017-08-07,0.87
2017-08-08,0.89
2017-08-09,0.93
2017-08-10,0.83
2017-08-11,0.82
2017-08-14,0.82
2017-08-15,0.78
2017-08-16,0.82
2017-08-17,0.82
2017-08-18,0.87
2017-08-21,0.84
2017-08-22,0.84
2017-08-23,0.86
2017-08-24,0.91
2017-08-25,0.94
2017-08-28,0.92
2017-08-29,0.92
2017-08-30,0.95
2017-08-31,0.92
2017-09-01,0.98
2017-09-05,1.09
2017-09-06,1.11
2017-09-07,1.3
2017-09-08,1.3
2017-09-11,1.25
2017-09-12,1.21
2017-09-13,1.29
2017-09-14,1.3
2017-09-15,1.53
2017-09-18,1.51
2017-09-19,1.51
2017-09-20,1.52
2017-09-21,1.41
2017-09-22,1.41
2017-09-25,1.36
2017-09-26,1.37
2017-09-27,1.45
2017-09-28,1.51
2017-09-29,1.52
2017-10-02,1.53
2017-10-03,1.59
2017-10-04,1.52
2017-10-05,1.53
2017-10-06,1.49
2017-10-09,1.43
2017-10-10,1.38
2017-10-11,1.4
2017-10-12,1.41
2017-10-13,1.39
2017-10-16,1.41
2017-10-17,1.37
2017-10-18,1.26
2017-10-19,1.29
2017-10-20,1.37
2017-10-23,1.32
2017-10-24,1.33
2017-10-25,1.27
2017-10-26,1.32
2017-10-27,1.36
2017-10-30,1.49
2017-10-31,1.53
2017-11-01,1.4
2017-11-02,1.45
2017-11-03,1.48
2017-11-06,1.49
2017-11-07,1.46
2017-11-08,1.75
2017-11-09,1.83
2017-11-10,1.97
2017-11-13,2.32
2017-11-14,2.37
2017-11-15,2.61
2017-11-16,2.78
2017-11-17,2.77
2017-11-20,2.56
2017-11-21,2.78
2017-11-22,2.81
2017-11-24,2.66
2017-11-27,3
2017-11-28,3.14
2017-11-29,2.87
2017-11-30,2.9
2017-12-01,2.9
2017-12-04,2.65
2017-12-05,2.76
2017-12-06,2.7
2017-12-07,2.8
2017-12-08,2.77
2017-12-11,2.7
2017-12-12,2.72
2017-12-13,2.66
2017-12-14,2.7
2017-12-15,2.8
2017-12-18,2.56
2017-12-19,2.47
2017-12-20,2.52
2017-12-21,2.55
2017-12-22,2.53
2017-12-26,2.42
2017-12-27,2.45
2017-12-28,2.49
2017-12-29,2.41
2018-01-02,2.6
2018-01-03,2.58
2018-01-04,2.5
2018-01-05,2.47
2018-01-08,2.41
2018-01-09,2.38
2018-01-10,2.26
2018-01-11,2.4
2018-01-12,2.24
2018-01-16,2.09
2018-01-17,2.1
2018-01-18,1.94
2018-01-19,1.95
2018-01-22,1.97
2018-01-23,2.06
2018-01-24,2.02
2018-01-25,2.09
2018-01-26,2.14
2018-01-29,2.03
2018-01-30,2.03
2018-01-31,2.2
2018-02-01,2.17
2018-02-02,2.07
2018-02-05,2.3
2018-02-06,2.31
2018-02-07,2.53
2018-02-08,2.28
2018-02-09,2.29
2018-02-12,2.66
2018-02-13,2.85
2018-02-14,2.67
2018-02-15,2.76
2018-02-16,2.82
2018-02-20,2.55
2018-02-21,2.63
2018-02-22,2.43
2018-02-23,2.47
2018-02-26,2.68
2018-02-27,2.79
2018-02-28,3.32
2018-03-01,3.31
2018-03-02,3.43
2018-03-05,3.71
2018-03-06,3.85
2018-03-07,3.92
2018-03-08,3.79
2018-03-09,3.87
2018-03-12,4.05
2018-03-13,3.98
2018-03-14,4.25
2018-03-15,4.41
2018-03-16,4.72
2018-03-19,4.74
2018-03-20,4.76
2018-03-21,4.71
2018-03-22,4.73
2018-03-23,4.83
2018-03-26,4.92
2018-03-27,5.08
2018-03-28,4.59
2018-03-29,4.57
2018-04-02,4.51
2018-04-03,4.24
2018-04-04,4.42
2018-04-05,4.36
2018-04-06,4.14
2018-04-09,4.15
2018-04-10,4
2018-04-11,3.96
2018-04-12,4.07
2018-04-13,3.94
2018-04-16,3.96
2018-04-17,4.26
2018-04-18,4.25
2018-04-19,4.58
2018-04-20,4.91
2018-04-23,4.96
2018-04-24,4.46
2018-04-25,4.39
2018-04-26,4.38
2018-04-27,4.26
2018-04-30,4.15
2018-05-01,4.06
2018-05-02,4.63
2018-05-03,4.5
2018-05-04,4.3
2018-05-07,4.59
2018-05-08,4.49
2018-05-09,4.68
2018-05-10,5.21
2018-05-11,5.09
2018-05-14,5.18
2018-05-15,5.3
2018-05-16,5.6
2018-05-17,5.53
2018-05-18,5.34
2018-05-21,5.5
2018-05-22,5.54
2018-05-23,5.65
2018-05-24,5.8
2018-05-25,5.61
2018-05-29,5.85
2018-05-30,6.23
2018-05-31,5.73
2018-06-01,5.78
2018-06-04,5.79
2018-06-05,5.62
2018-06-06,5.3
2018-06-07,5.32
2018-06-08,5.03
2018-06-11,4.62
2018-06-12,4.5
2018-06-13,5.98
2018-06-14,6.44
2018-06-15,5.69
2018-06-18,6.1
2018-06-19,6.2
2018-06-20,6.16
2018-06-21,6.22
2018-06-22,6.62
2018-06-25,6.98
2018-06-26,7.3
2018-06-27,6.81
2018-06-28,6.95
2018-06-29,6.73
2018-07-02,7.14
2018-07-03,7.03
2018-07-05,7.01
2018-07-06,7.03
2018-07-09,7.4
2018-07-10,7.48
2018-07-11,7.04
2018-07-12,7.02
2018-07-13,7.04
2018-07-16,6.73
2018-07-17,6.63
2018-07-18,6.69
2018-07-19,7.02
2018-07-20,6.76
2018-07-23,6.72
2018-07-24,6.62
2018-07-25,6.48
2018-07-26,6.18
2018-07-27,5.59
2018-07-30,5.68
2018-07-31,5.95
2018-08-01,5.59
2018-08-02,5.7
2018-08-03,5.36
2018-08-06,5.76
2018-08-07,5.87
2018-08-08,5.75
2018-08-09,5.68
2018-08-10,5.71
2018-08-13,5.37
2018-08-14,5.05
2018-08-15,4.89
2018-08-16,4.98
2018-08-17,4.77
2018-08-20,4.97
2018-08-21,4.91
2018-08-22,4.94
2018-08-23,4.9
2018-08-24,4.91
2018-08-27,4.79
2018-08-28,5.01
2018-08-29,5.21
2018-08-30,4.71
2018-08-31,4.89
2018-09-04,4.89
2018-09-05,4.61
2018-09-06,4.43
2018-09-07,4.45
2018-09-10,4.42
2018-09-11,4.47
2018-09-12,4.41
2018-09-13,4.1
2018-09-14,4.03
2018-09-17,3.89
2018-09-18,4.36
2018-09-19,4.23
2018-09-20,4.42
2018-09-21,4.4
2018-09-24,4.21
2018-09-25,4.62
2018-09-26,4.54
2018-09-27,4.94
2018-09-28,4.85
2018-10-01,4.96
2018-10-02,4.99
2018-10-03,4.93
2018-10-04,4.64
2018-10-05,4.51
2018-10-08,4.63
2018-10-09,4.54
2018-10-10,4.33
2018-10-11,4.5
2018-10-12,4.6
2018-10-15,4.94
2018-10-16,4.89
2018-10-17,4.92
2018-10-18,4.87
2018-10-19,4.74
2018-10-22,4.7
2018-10-23,4.51
2018-10-24,4.26
2018-10-25,4.4
2018-10-26,4.19
2018-10-29,4.15
2018-10-30,4.24
2018-10-31,4.54
2018-11-01,4.91
2018-11-02,5.15
2018-11-05,5.39
2018-11-06,5.15
2018-11-07,5.64
2018-11-08,5.81
2018-11-09,5.56
2018-11-12,5.43
2018-11-13,5.44
2018-11-14,5.4
2018-11-15,5.54
2018-11-16,5.45
2018-11-19,5.29
2018-11-20,4.92
2018-11-21,5.08
2018-11-23,5.21
2018-11-26,5.3
2018-11-27,5.32
2018-11-28,5.57
2018-11-29,5.42
2018-11-30,5.4
2018-12-03,5.78
2018-12-04,5.66
2018-12-06,5.87
2018-12-07,5.68
2018-12-10,5.68
2018-12-11,5.7
2018-12-12,5.8
2018-12-13,5.76
2018-12-14,5.68
2018-12-17,5.53
2018-12-18,5.25
2018-12-19,5.19
2018-12-20,5
2018-12-21,4.74
2018-12-24,4.64
2018-12-26,4.99
2018-12-27,4.9
2018-12-28,4.83
2018-12-31,4.73
2019-01-02,4.92
2019-01-03,4.76
2019-01-04,5.08
2019-01-07,5.26
2019-01-08,5.35
2019-01-09,5.63
2019-01-10,5.63
2019-01-11,5.68
2019-01-14,5.82
2019-01-15,6.15
2019-01-16,6.68
2019-01-17,6.82
2019-01-18,6.53
2019-01-22,6.59
2019-01-23,6.51
2019-01-24,6.66
2019-01-25,6.72
2019-01-28,6.9
2019-01-29,7.1
2019-01-30,7.16
2019-01-31,7.23
2019-02-01,7
2019-02-04,7
2019-02-05,7.3
2019-02-06,7.32
2019-02-07,7.48
2019-02-08,7.44
2019-02-11,7.73
2019-02-12,7.6
2019-02-13,7.68
2019-02-14,7.66
2019-02-15,7.65
2019-02-19,7.56
2019-02-20,7.23
2019-02-21,7.37
2019-02-22,7.78
2019-02-25,8.06
2019-02-26,8.09
2019-02-27,8.87
2019-02-28,9.07
2019-03-01,9.1
2019-03-04,8.78
2019-03-05,8.7
2019-03-06,8.38
2019-03-07,8.29
2019-03-08,8.46
2019-03-11,8.84
2019-03-12,9
2019-03-13,9.36
2019-03-14,9.38
2019-03-15,9.05
2019-03-18,9.67
2019-03-19,9.2
2019-03-20,9.18
2019-03-21,9.38
2019-03-22,9.19
2019-03-25,9.03
2019-03-26,8.71
2019-03-27,8.8
2019-03-28,9.08
2019-03-29,9.23
2019-04-01,9.26
2019-04-02,9.35
2019-04-03,9.69
2019-04-04,9.52
2019-04-05,9.84
2019-04-08,10.24
2019-04-09,10.03
2019-04-10,10.15
2019-04-11,9.8
2019-04-12,9.93
2019-04-15,9.59
2019-04-16,9.66
2019-04-17,9.73
2019-04-18,9.45
2019-04-22,9.28
2019-04-23,9.75
2019-04-24,9.83
2019-04-25,9.91
2019-04-26,10.43
2019-04-29,10.21
2019-04-30,10.04
